Reaction ID,Flux ID,Glycolysis,Glycolysis + Hb,Glycolysis + PFK,Glycolysis + PYK,Glycolysis + Hb + HEX1,Glycolysis + Hb + PFK,Glycolysis + Hb + PYK,Glycolysis + PFK + PYK,Glycolysis + Hb + PFK + PYK,Glycolysis + Hb + HEX1 + PFK,Glycolysis + Hb + HEX1 + PYK,Glycolysis + Hb + HEX1 + PFK + PYK,Units
SK_glc__D_c,v_SK_glc__D_c,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,mmol/L/hr
SK_amp_c,v_SK_amp_c,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,mmol/L/hr
SK_h_c,v_SK_h_c,2.688,2.688,2.688,2.688,1.56808,2.688,2.6882,2.688,2.6882,1.568,1.5682,1.5681,mmol/L/hr
SK_h2o_c,v_SK_h2o_c,0,0,0,0,0,0,0,0,0,0,0,0,mmol/L/hr
SK_pi_c,v_SK_pi_c,0,0,-6.12843E-16,0,-2.04281E-16,6.12843E-16,1.02141E-16,0,1.02141E-16,1.02141E-15,-1.83853E-15,7.14984E-16,mmol/L/hr
DPGM,v_DPGM,-,0.43474,-,-,0.43474,0.43474,0.43474,-,0.43474,0.43474,0.43474,0.43474,mmol/L/hr
DPGase,v_DPGase,-,0.43474,-,-,0.43474,0.43474,0.43474,-,0.43474,0.43474,0.43474,0.43474,mmol/L/hr
HBO1,v_HBO1,-,0,-,-,0,0,0,-,0,0,0,0,mmol/L/hr
HBO2,v_HBO2,-,0,-,-,0,0,0,-,-1.10822E-13,0,0,0,mmol/L/hr
HBO3,v_HBO3,-,0,-,-,0,1.10425E-13,-1.10425E-13,-,1.10425E-13,0,0,1.10425E-13,mmol/L/hr
HBO4,v_HBO4,-,0,-,-,0,0,0,-,0,0,0,-4.35065E-13,mmol/L/hr
HBDPG,v_HBDPG,-,0,-,-,0,0,0,-,-1.44221E-11,0,0,0,mmol/L/hr
SK_o2_c,v_SK_o2_c,-,0,-,-,0,0,0,-,0,0,0,0,mmol/L/hr
HEX1_1,v_HEX1_1,-,-,-,-,-4.23516E-16,-,-,-,-,0,-4.23516E-16,4.23516E-16,mmol/L/hr
HEX1_2,v_HEX1_2,-,-,-,-,-1.05879E-16,-,-,-,-,8.47033E-16,0,0,mmol/L/hr
HEX1_3,v_HEX1_3,-,-,-,-,0.689528,-,-,-,-,0.68953,0.689528,0.68953,mmol/L/hr
HEX1_4,v_HEX1_4,-,-,-,-,0.430472,-,-,-,-,0.43047,0.430472,0.43047,mmol/L/hr
HEX1_5,v_HEX1_5,-,-,-,-,2.64698E-17,-,-,-,-,5.29396E-17,0,0,mmol/L/hr
HEX1_6,v_HEX1_6,-,-,-,-,0.689528,-,-,-,-,0.68953,0.689528,0.68953,mmol/L/hr
HEX1_7,v_HEX1_7,-,-,-,-,0.430472,-,-,-,-,0.43047,0.430472,0.43047,mmol/L/hr
HEX1_8,v_HEX1_8,-,-,-,-,1.12,-,-,-,-,1.12,1.12,1.12,mmol/L/hr
PFK_R01,v_PFK_R01,-,-,0.00646382,-,-,0.00646382,-,0.00646382,0.00646382,0.00646382,-,0.00646382,mmol/L/hr
PFK_R02,v_PFK_R02,-,-,0.00646382,-,-,0.00646382,-,0.00646382,0.00646382,0.00646382,-,0.00646382,mmol/L/hr
PFK_R03,v_PFK_R03,-,-,0.00646382,-,-,0.00646382,-,0.00646382,0.00646382,0.00646382,-,0.00646382,mmol/L/hr
PFK_R10,v_PFK_R10,-,-,-1.32349E-17,-,-,0,-,3.30872E-18,2.59073E-15,-3.30872E-18,-,2.31611E-17,mmol/L/hr
PFK_R11,v_PFK_R11,-,-,0.0679509,-,-,0.0679509,-,0.0679509,0.0679509,0.0679509,-,0.0679509,mmol/L/hr
PFK_R12,v_PFK_R12,-,-,0.0679509,-,-,0.0679509,-,0.0679509,0.0679509,0.0679509,-,0.0679509,mmol/L/hr
PFK_R13,v_PFK_R13,-,-,0.0679509,-,-,0.0679509,-,0.0679509,0.0679509,0.0679509,-,0.0679509,mmol/L/hr
PFK_R20,v_PFK_R20,-,-,0,-,-,-2.64698E-17,-,0,2.64698E-15,2.64698E-17,-,0,mmol/L/hr
PFK_R21,v_PFK_R21,-,-,0.267875,-,-,0.267875,-,0.267875,0.267875,0.267875,-,0.267875,mmol/L/hr
PFK_R22,v_PFK_R22,-,-,0.267875,-,-,0.267875,-,0.267875,0.267875,0.267875,-,0.267875,mmol/L/hr
PFK_R23,v_PFK_R23,-,-,0.267875,-,-,0.267875,-,0.267875,0.267875,0.267875,-,0.267875,mmol/L/hr
PFK_R30,v_PFK_R30,-,-,-5.29396E-17,-,-,1.05879E-16,-,-1.05879E-16,2.22346E-15,0,-,0,mmol/L/hr
PFK_R31,v_PFK_R31,-,-,0.469339,-,-,0.469339,-,0.469339,0.469339,0.469339,-,0.469339,mmol/L/hr
PFK_R32,v_PFK_R32,-,-,0.469339,-,-,0.469339,-,0.469339,0.469339,0.469339,-,0.469339,mmol/L/hr
PFK_R33,v_PFK_R33,-,-,0.469339,-,-,0.469339,-,0.469339,0.469339,0.469339,-,0.469339,mmol/L/hr
PFK_R40,v_PFK_R40,-,-,5.29396E-17,-,-,5.29396E-17,-,-5.29396E-17,1.27055E-15,5.29396E-17,-,0,mmol/L/hr
PFK_R41,v_PFK_R41,-,-,0.308371,-,-,0.308371,-,0.308371,0.308371,0.308371,-,0.308371,mmol/L/hr
PFK_R42,v_PFK_R42,-,-,0.308371,-,-,0.308371,-,0.308371,0.308371,0.308371,-,0.308371,mmol/L/hr
PFK_R43,v_PFK_R43,-,-,0.308371,-,-,0.308371,-,0.308371,0.308371,0.308371,-,0.308371,mmol/L/hr
PFK_L,v_PFK_L,-,-,1.32349E-11,-,-,0,-,0,0,0,-,0,mmol/L/hr
PFK_T1,v_PFK_T1,-,-,1.43723E-17,-,-,-1.03398E-19,-,-3.46382E-18,-2.07798E-15,5.16988E-20,-,0,mmol/L/hr
PFK_T2,v_PFK_T2,-,-,1.32349E-17,-,-,0,-,-3.30872E-18,-1.82311E-15,0,-,-1.65436E-18,mmol/L/hr
PFK_T3,v_PFK_T3,-,-,0,-,-,-2.64698E-17,-,0,-1.4029E-15,2.64698E-17,-,-2.64698E-17,mmol/L/hr
PFK_T4,v_PFK_T4,-,-,-2.11758E-16,-,-,0,-,0,-9.52912E-16,0,-,-1.05879E-16,mmol/L/hr
PYK_R01,v_PYK_R01,-,-,-,0.00463007,-,-,0.0171658,0.00456887,0.0171621,-,0.0171659,0.00958396,mmol/L/hr
PYK_R02,v_PYK_R02,-,-,-,0.00485638,-,-,0.0169013,0.0047922,0.0168977,-,0.0169014,0.0094363,mmol/L/hr
PYK_R03,v_PYK_R03,-,-,-,0.00485638,-,-,0.0169013,0.0047922,0.0168977,-,0.0169014,0.0094363,mmol/L/hr
PYK_R04,v_PYK_R04,-,-,-,0.00463007,-,-,0.0171658,0.00456887,0.0171621,-,0.0171659,0.00958396,mmol/L/hr
PYK_R05,v_PYK_R05,-,-,-,0.00948645,-,-,0.0340672,0.00936107,0.0340598,-,0.0340673,0.00948645,mmol/L/hr
PYK_R10,v_PYK_R10,-,-,-,1.05879E-16,-,-,0,0,1.69407E-15,-,8.47033E-16,1.05879E-16,mmol/L/hr
PYK_R11,v_PYK_R11,-,-,-,0.0540792,-,-,0.126862,0.0536031,0.126845,-,0.126862,0.0540792,mmol/L/hr
PYK_R12,v_PYK_R12,-,-,-,0.0567226,-,-,0.124907,0.0562232,0.124891,-,0.124907,0.0567226,mmol/L/hr
PYK_R13,v_PYK_R13,-,-,-,0.0540792,-,-,0.126862,0.0536031,0.126845,-,0.126862,0.0567226,mmol/L/hr
PYK_R14,v_PYK_R14,-,-,-,0.0567226,-,-,0.124907,0.0562232,0.124891,-,0.124907,0.0540792,mmol/L/hr
PYK_R15,v_PYK_R15,-,-,-,0.110802,-,-,0.251769,0.109826,0.251736,-,0.25177,0.110802,mmol/L/hr
PYK_R20,v_PYK_R20,-,-,-,-1.69407E-15,-,-,0,-3.38813E-15,3.38813E-15,-,-3.38813E-15,-1.69407E-15,mmol/L/hr
PYK_R21,v_PYK_R21,-,-,-,0.236867,-,-,0.351584,0.235832,0.351566,-,0.351584,0.236867,mmol/L/hr
PYK_R22,v_PYK_R22,-,-,-,0.248445,-,-,0.346167,0.247359,0.34615,-,0.346167,0.248445,mmol/L/hr
PYK_R23,v_PYK_R23,-,-,-,0.236867,-,-,0.351584,0.235832,0.351566,-,0.351584,0.248445,mmol/L/hr
PYK_R24,v_PYK_R24,-,-,-,0.248445,-,-,0.346167,0.247359,0.34615,-,0.346167,0.236867,mmol/L/hr
PYK_R25,v_PYK_R25,-,-,-,0.485312,-,-,0.69775,0.483191,0.697716,-,0.697751,0.485312,mmol/L/hr
PYK_R30,v_PYK_R30,-,-,-,3.38813E-15,-,-,-1.35525E-14,0,6.77626E-15,-,0,3.38813E-15,mmol/L/hr
PYK_R31,v_PYK_R31,-,-,-,0.461101,-,-,0.433056,0.461139,0.43307,-,0.433056,0.461101,mmol/L/hr
PYK_R32,v_PYK_R32,-,-,-,0.483639,-,-,0.426384,0.48368,0.426398,-,0.426384,0.483639,mmol/L/hr
PYK_R33,v_PYK_R33,-,-,-,0.461101,-,-,0.433056,0.461139,0.43307,-,0.433056,0.483639,mmol/L/hr
PYK_R34,v_PYK_R34,-,-,-,0.483639,-,-,0.426384,0.48368,0.426398,-,0.426384,0.461101,mmol/L/hr
PYK_R35,v_PYK_R35,-,-,-,0.94474,-,-,0.85944,0.944819,0.859469,-,0.859439,0.94474,mmol/L/hr
PYK_R40,v_PYK_R40,-,-,-,0,-,-,0,0,-3.38813E-15,-,3.38813E-15,0,mmol/L/hr
PYK_R41,v_PYK_R41,-,-,-,0.336604,-,-,0.200028,0.338137,0.200051,-,0.200028,0.336604,mmol/L/hr
PYK_R42,v_PYK_R42,-,-,-,0.353057,-,-,0.196946,0.354665,0.196969,-,0.196946,0.353057,mmol/L/hr
PYK_R43,v_PYK_R43,-,-,-,0.336604,-,-,0.200028,0.338137,0.200051,-,0.200028,0.353057,mmol/L/hr
PYK_R44,v_PYK_R44,-,-,-,0.353057,-,-,0.196946,0.354665,0.196969,-,0.196946,0.336604,mmol/L/hr
PYK_R45,v_PYK_R45,-,-,-,0.68966,-,-,0.396974,0.692803,0.39702,-,0.396973,0.68966,mmol/L/hr
PYK_L,v_PYK_L,-,-,-,0,-,-,0,0,0,-,0,0,mmol/L/hr
PYK_T1,v_PYK_T1,-,-,-,-2.1684E-13,-,-,0,-8.67362E-13,-1.73472E-12,-,0,-2.1684E-13,mmol/L/hr
PYK_T2,v_PYK_T2,-,-,-,0,-,-,-1.73472E-12,-8.67362E-13,-1.73472E-12,-,-1.73472E-12,0,mmol/L/hr
PYK_T3,v_PYK_T3,-,-,-,-1.0842E-13,-,-,0,-4.33681E-13,1.73472E-12,-,0,-1.0842E-13,mmol/L/hr
PYK_T4,v_PYK_T4,-,-,-,0,-,-,0,-5.42101E-14,-1.0842E-13,-,1.0842E-13,0,mmol/L/hr
